A2 verbs,
взять,to take
уви́деть,to see
поду́мать,to think
посмотре́ть,to look
счита́ть,to count
слы́шать,to hear
остава́ться,to stay
хоте́ться,to want
чу́вствовать,to feel
вести́,to lead
продолжа́ть,to continue
находи́ться,to be (location)
держа́ть,to keep
поста́вить,to put
молча́ть,to be silent
иска́ть,to seek
ве́рить,to believe
станови́ться,to become
смочь,to be able to
происходи́ть,to happen
услы́шать,to hear
крича́ть,to shout
пое́хать,to go
проходи́ть,to pass
улыба́ться,to smile
привести́,to bring
провести́,to lead
смея́ться,to laugh
потеря́ть,to lose
пока́зывать,to show
бить,to hit
упа́сть,to fall 
вызыва́ть,to cause 
разгова́ривать,to talk 
подходи́ть,to approach 
висе́ть,to hang
горе́ть,to burn 
сади́ться,to sit down 
носи́ть,to wear 
пла́кать,to cry
меша́ть,to disturb 
получа́ться,to get 
жела́ть,to wish 
лете́ть,to fly 
звони́ть,to call 
встава́ть,to get up 
предлага́ть,to offer 
засмея́ться,to laugh 
встреча́ться,to meet 
поднима́ться,to rise 
кури́ть,to smoke
плати́ть,to pay 
дыша́ть,to breathe 
подожда́ть,to wait 
е́здить,to ride 
находи́ть,to find 
тяну́ть,to pull 
встреча́ть,to meet 
мечта́ть,to dream 
теря́ть,to lose 
броса́ть,to throw
торопи́ться,to hurry up 
стро́ить,to build 
расти́,to grow 
поднима́ть,to raise 
приезжа́ть,to come 
жени́ться,to marry 
звуча́ть,to sound 
отлича́ться,to be different 
отдава́ть,to give 
проче́сть,to read 
остана́вливаться,to stop 
вари́ть,to cook
испуга́ться,to be scared
съесть,to eat 
приближа́ться,to get closer
поступа́ть,to do 
научи́ться,to learn 
ненави́деть,to hate 
замолча́ть,to get quiet
меня́ть,to change 
стуча́ть,to pound
лета́ть,to fly 
случа́ться,to happen 
пры́гать,to jump 
корми́ть,to feed 
уважа́ть,to respect 
плыть,to swim
ложи́ться,to go 
проверя́ть,to test 
продава́ть,to sell 
води́ть,to led 
посыла́ть,to send 
представля́ться,to introduce oneself
разбуди́ть,to wake (someone) up
про́бовать,to try 
запла́кать,to cry 
течь,to flow
открыва́ться,to open up
научи́ть,to teach
слома́ть,to break
поцелова́ть,to kiss
доходи́ть,to reach
постуча́ть,to knock
сове́товать,to give advice
благодари́ть,to thank
целова́ть,to kiss
полюби́ть,to love
отходи́ть,to step away
ре́зать,to cut
ночева́ть,to spend the night
тра́тить,to spend
лечи́ть,to treat
заболе́ть,to get sick
просыпа́ться,to wake up
запи́сывать,to write
прое́хать,to drive through
нарисова́ть,to draw
проща́ться,to say goodbye 
руга́ть,to blame 
извиня́ться,to apologize 
вози́ть,to carry 
надева́ть,to wear 
забира́ть,to pick up 
купа́ться,to swim 
повора́чивать,to rotate 
гла́дить,to pet
узнава́ть,to learn 
труди́ться,to work 
чи́стить,to clean 
толка́ть,to push 
отправля́ть,to send 
различа́ть,to distinguish 
дели́ть,to share 
убира́ть,to remove 
скуча́ть,to miss
убега́ть,to escape 
налива́ть,to pour 
буди́ть,to wake (someone) up
воспи́тывать,to educate 
дружи́ть,to be friends
увели́чиваться,to increase 
кида́ть,to throw 
разреша́ть,to allow 
вынима́ть,to remove 
поблагодари́ть,to thank 
выбра́сывать,to throw 
зака́нчивать,to finish 
привыка́ть,to get used to
знако́миться,to meet 
выезжа́ть,to leave
дое́хать,to drive 
привози́ть,to bring 
уноси́ть,to carry away
поправля́ть,to correct 
стира́ть,to wash
отводи́ть,to lead away
запреща́ть,to deny 
преподава́ть,to teach
закрыва́ться,to close 
устава́ть,to get tired
ка́шлять,to cough
подъезжа́ть,to drive 
уменьша́ться,to decrease 
прибыва́ть,to arrive 
выраста́ть,to grow 
отлича́ть,to distinguish 
путеше́ствовать,to travel 
вылета́ть,to fly 
опа́здывать,to be late 
улета́ть,to fly away 
жа́рить,to fry 
диктова́ть,to dictate 
соединя́ть,to connect 
относи́ть,to include
зака́зывать,to order 
увели́чивать,to increase 
проспа́ть,to sleep through
выпи́сывать,to write 
присыла́ть,to send 
предъявля́ть,to present 
ве́сить,to weigh 
запира́ть,to lock 
переезжа́ть,to move 
въезжа́ть,to enter 
фотографи́ровать,to photograph 
прилета́ть,to fly 
завора́чивать,to wrap 
замерза́ть,to freeze 
переска́зывать,to retell 
выки́дывать,to throw away
уменьша́ть,to reduce 
исправля́ть,to fix 
арендова́ть,to rent 
различа́ться,to vary 
отвози́ть,to drive 
разводи́ться,to divorce 
переспра́шивать,to ask again 
соревнова́ться,to compete 
умножа́ть,to multiply 
приземля́ться,to land 
соли́ть,to salt 
зарегистри́роваться,to register 
упако́вывать,to pack
отга́дывать,to guess 
пакова́ть,to pack
резерви́ровать,to reserve 
паркова́ть,to park
брать в аре́нду,to rent 
будьте здоро́вы,to be healthy 
взять такси́,to take a taxi 
ви́деть сон,to see a dream
води́ть автомоби́ль,to drive a car 
выходи́ть за́муж,to get married 
де́лать поку́пки,to shop 
игра́ть роль,to play a role 
идти́ пешко́м,to walk 
иска́ть рабо́ту,to look for work
обраща́ть внима́ние,to note 
передава́ть приве́т,to say hi
сдава́ть экза́мен,to take the exam
ходи́ть по магази́нам,to go shopping
чу́вствовать себя́,to feel
