взять,to take,'https://en.openrussian.org/ru/взять'
уви́деть,to see,'https://en.openrussian.org/ru/увидеть'
поду́мать,to think,'https://en.openrussian.org/ru/подумать'
посмотре́ть,to look,'https://en.openrussian.org/ru/посмотреть'
счита́ть,to count,'https://en.openrussian.org/ru/считать'
слы́шать,to hear,'https://en.openrussian.org/ru/слышать'
остава́ться,to stay,'https://en.openrussian.org/ru/оставаться'
хоте́ться,to want,'https://en.openrussian.org/ru/хотеться'
чу́вствовать,to feel,'https://en.openrussian.org/ru/чувствовать'
вести́,to lead,'https://en.openrussian.org/ru/вести'
продолжа́ть,to continue,'https://en.openrussian.org/ru/продолжать'
находи́ться,to be (location),'https://en.openrussian.org/ru/находиться'
держа́ть,to keep,'https://en.openrussian.org/ru/держать'
поста́вить,to put,'https://en.openrussian.org/ru/поставить'
молча́ть,to be silent,'https://en.openrussian.org/ru/молчать'
иска́ть,to seek,'https://en.openrussian.org/ru/искать'
ве́рить,to believe,'https://en.openrussian.org/ru/верить'
станови́ться,to become,'https://en.openrussian.org/ru/становиться'
смочь,to be able to,'https://en.openrussian.org/ru/смочь'
происходи́ть,to happen,'https://en.openrussian.org/ru/происходить'
услы́шать,to hear,'https://en.openrussian.org/ru/услышать'
крича́ть,to shout,'https://en.openrussian.org/ru/кричать'
пое́хать,to go,'https://en.openrussian.org/ru/поехать'
проходи́ть,to pass,'https://en.openrussian.org/ru/проходить'
улыба́ться,to smile,'https://en.openrussian.org/ru/улыбаться'
привести́,to bring,'https://en.openrussian.org/ru/привести'
провести́,to lead,'https://en.openrussian.org/ru/провести'
смея́ться,to laugh,'https://en.openrussian.org/ru/смеяться'
потеря́ть,to lose,'https://en.openrussian.org/ru/потерять'
пока́зывать,to show,'https://en.openrussian.org/ru/показывать'
бить,to hit,'https://en.openrussian.org/ru/бить'
упа́сть,to fall ,'https://en.openrussian.org/ru/упасть'
вызыва́ть,to cause ,'https://en.openrussian.org/ru/вызывать'
разгова́ривать,to talk ,'https://en.openrussian.org/ru/разговаривать'
подходи́ть,to approach ,'https://en.openrussian.org/ru/подходить'
висе́ть,to hang,'https://en.openrussian.org/ru/висеть'
горе́ть,to burn ,'https://en.openrussian.org/ru/гореть'
сади́ться,to sit down ,'https://en.openrussian.org/ru/садиться'
носи́ть,to wear ,'https://en.openrussian.org/ru/носить'
пла́кать,to cry,'https://en.openrussian.org/ru/плакать'
меша́ть,to disturb ,'https://en.openrussian.org/ru/мешать'
получа́ться,to get ,'https://en.openrussian.org/ru/получаться'
жела́ть,to wish ,'https://en.openrussian.org/ru/желать'
лете́ть,to fly ,'https://en.openrussian.org/ru/лететь'
звони́ть,to call ,'https://en.openrussian.org/ru/звонить'
встава́ть,to get up ,'https://en.openrussian.org/ru/вставать'
предлага́ть,to offer ,'https://en.openrussian.org/ru/предлагать'
засмея́ться,to laugh ,'https://en.openrussian.org/ru/засмеяться'
встреча́ться,to meet ,'https://en.openrussian.org/ru/встречаться'
поднима́ться,to rise ,'https://en.openrussian.org/ru/подниматься'
кури́ть,to smoke,'https://en.openrussian.org/ru/курить'
плати́ть,to pay ,'https://en.openrussian.org/ru/платить'
дыша́ть,to breathe ,'https://en.openrussian.org/ru/дышать'
подожда́ть,to wait ,'https://en.openrussian.org/ru/подождать'
е́здить,to ride ,'https://en.openrussian.org/ru/ездить'
находи́ть,to find ,'https://en.openrussian.org/ru/находить'
тяну́ть,to pull ,'https://en.openrussian.org/ru/тянуть'
встреча́ть,to meet ,'https://en.openrussian.org/ru/встречать'
мечта́ть,to dream ,'https://en.openrussian.org/ru/мечтать'
